Plains, Plains, Forest, Plains, Forest, Forest, Forest, Monsoon Forest, Rainforest, Rainforest, Rainforest, Swamp, Swamp, Forest, Forest, Forest, Plains, Plains, Desert, Desert, Plains, Plains, Plains, Plains, Forest, Forest, Forest, Swamp, Swamp, Swamp, Forest, Forest, Forest, Plains, Plains, Plains, Plains, Forest, Plains, Plains
Plains, Forest, Plains, Forest, Swamp, Forest, Plains, Plains, Swamp, Rainforest, Rainforest, Rainforest, Swamp, Swamp, Forest, Swamp, Plains, Plains, Plains, Plains, Plains, Plains, Desert, Forest, Swamp, Forest, Forest, Forest, Forest, Swamp, Forest, Forest, Plains, Forest, Forest, Forest, Forest, Plains, Forest, Plains
Ocean, Plains, Forest, Plains, Swamp, Swamp, Forest, Forest, Forest, Forest, Plains, Rainforest, Rainforest, Monsoon Forest, Forest, Forest, Swamp, Swamp, Forest, Forest, Plains, Plains, Plains, Plains, Forest, Forest, Forest, Forest, Plains, Swamp, Forest, Plains, Plains, Plains, Plains, Forest, Swamp, Swamp, Plains, Forest
Ocean, Ocean, Plains, Forest, Forest, Swamp, Forest, Plains, Swamp, Forest, Forest, Forest, Rainforest, Rainforest, Forest, Plains, Forest, Forest, Forest, Forest, Plains, Desert, Plains, Plains, Forest, Plains, Plains, Plains, Plains, Plains, Forest, Forest, Swamp, Plains, Plains, Plains, Forest, Forest, Forest, Forest
Ocean, Ocean, Ocean, Ocean, Ocean, Forest, Swamp, Plains, Forest, Swamp, Forest, Forest, Swamp, Swamp, Swamp, Swamp, Forest, Swamp, Plains, Forest, Plains, Desert, Plains, Forest, Desert, Forest, Forest, Plains, Forest, Forest, Plains, Desert, Plains, Forest, Plains, Plains, Plains, Forest, Swamp, Plains
Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Forest, Forest, Forest, Forest, Forest, Swamp, Forest, Swamp, Rainforest, Swamp, Swamp, Plains, Monsoon Forest, Plains, Plains, Desert, Desert, Plains, Plains, Plains, Forest, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Swamp, Forest
Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Plains, Plains, Plains, Forest, Swamp, Swamp, Forest, Swamp, Swamp, Forest, Plains, Plains, Savannah, Plains, Desert, Plains, Desert, Desert, Plains, Plains, Plains, Plains, Ocean, Plains, Desert, Plains, Desert, Plains, Plains, Plains, Desert, Forest, Forest
Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Plains, Plains, Forest, Plains, Plains, Monsoon Forest, Plains, Forest, Plains, Plains, Savannah, Plains, Desert, Desert, Plains, Desert, Plains, Forest, Forest, Plains, Ocean, Ocean, Plains, Plains, Desert, Plains, Plains, Plains, Plains, Plains
Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Plains, Forest, Forest, Plains, Plains, Plains, Plains, Forest, Forest, Forest, Plains, Desert, Desert, Desert, Plains, Plains, Plains, Plains, Forest, Plains, Forest, Forest, Plains, Desert, Desert, Desert, Ocean, Ocean, Ocean
Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Forest, Forest, Plains, Plains, Plains, Plains, Swamp, Forest, Savannah, Plains, Plains, Desert, Desert, Desert, Plains, Forest, Plains, Plains, Plains, Forest, Plains, Desert, Desert, Ocean, Ocean, Ocean
Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Plains, Forest, Plains, Forest, Forest, Swamp, Desert, Plains, Plains, Plains, Plains, Desert, Plains, Forest, Forest, Forest, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains
Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Swamp, Forest, Plains, Forest, Swamp, Swamp, Forest, Plains, Plains, Desert, Plains, Forest, Plains, Plains, Forest, Forest, Plains, Plains, Plains, Desert, Plains, Plains, Plains, Forest
Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Ocean, Plains, Plains, Forest, Swamp, Swamp, Swamp, Plains, Desert, Desert, Desert, Forest, Plains, Forest, Ocean, Plains, Plains, Plains, Desert, Desert, Plains, Plains, Desert
