4.52, 4.26, 2.44, 1.03, 0.26, 0.73, 0.1, 0.34, 6.02, 0.67, 0.29, 0.1, 0, 0.01, 0.01, 0.01, 0.37, 0.46, 0.25, 2.27, 1.27, 0.65, 0.65, 1.43, 7.27, 4.24, 5.68, 3.59, 2.54, 19.6, 12.22, 6.3, 2.3, 5.7, 2.11, 5.38, 10.18, 1.9, 4.1, 4.01
1.56, 192.23, 4.69, 3.1, 4.05, 0.54, 8.15, 0.03, 0.11, 1.32, 0.01, 0.32, 2.49, 0.05, 0, 0.03, 0.01, 0.09, 0.21, 0.53, 0.21, 1.02, 1.52, 1.13, 2.76, 2.23, 337.6, 2.77, 792.1, 2.97, 12.56, 7.96, 5.13, 2.15, 1.55, 5.07, 3.81, 5.98, 5.79, 11.55
5.06, 2.17, 2.47, 1.71, 2.21, 3.47, 0.96, 0.25, 1.54, 1.29, 0.15, 0.08, 0.81, 1.91, 0.07, 0, 0.01, 0.01, 0.01, 0.16, 5.5, 0.55, 6.57, 7.09, 2.19, 3.1, 256.59, 6.12, 2.76, 73.84, 177.26, 49.6, 11.5, 6.62, 0.34, 0.02, 1.11, 1.68, 0.79, 0.3
4.35, 9.04, 1.52, 1.28, 0.8, 2.75, 0.29, 0.46, 0.95, 0.1, 1.07, 0.02, 0.71, 0.43, 10.63, 0.07, 0, 0.04, 0, 0.08, 1.77, 0.68, 1.36, 0.59, 1.41, 4.54, 1.53, 2.39, 1, 4.06, 3.16, 5.2, 17.6, 14.56, 1.21, 0.28, 0.81, 2.17, 1.97, 0.49
1.78, 9.21, 2.08, 0.32, 0.24, 0.4, 1.31, 0.27, 0.8, 0.28, 0.02, 0.01, 0.01, 0.29, 0.14, 0.47, 0.1, 0, 0.02, 0, 0.01, 0.89, 8.28, 0.27, 10.16, 2.76, 1.34, 0.59, 1.48, 239.02, 2.21, 5.23, 700.07, 9.11, 2.83, 1.59, 0.05, 3.2, 0.78, 3
1.04, 3, 1.72, 0.16, 0.17, 0.33, 0.22, 0.16, 0.02, 0.12, 1.07, 1.34, 0.14, 0.71, 0.21, 0.14, 0.08, 0.01, 0.03, 0.02, 0.01, 0.03, 0.07, 0.06, 48.47, 3.74, 4.78, 208.56, 15.36, 8.29, 1.84, 10.3, 12.88, 5.63, 1.27, 0.27, 1.78, 0.26, 0.11, 0.51
3.05, 3.04, 0.07, 1.06, 2.19, 5.51, 2.42, 0.26, 0.83, 0.91, 0.03, 0.21, 0.11, 0.05, 0.04, 4.19, 0.97, 1.48, 0.07, 0.02, 0.01, 0.01, 0.07, 0.08, 0.05, 3.88, 1.92, 2.23, 0.81, 1.72, 3.34, 3.05, 5.95, 8.18, 204.95, 0.3, 1.9, 1.5, 1.29, 0.05
9.29, 2.42, 7.35, 0.44, 0.6, 4.57, 105.81, 2.55, 0.44, 3.48, 0.12, 0, 0, 0.03, 0.14, 1.94, 4.91, 2.03, 0.21, 0.01, 0.05, 0, 0, 0.23, 0.02, 1.48, 0.59, 1.64, 0.95, 2.59, 5.73, 0.37, 9.96, 9.74, 8.01, 14.65, 1.86, 2.24, 0.77, 0.9
8.55, 3.24, 8.82, 0.27, 0.15, 26.64, 0, 146.71, 45.61, 1.48, 1.14, 1.53, 0.07, 0.14, 17.71, 5.39, 0.35, 2.89, 4.36, 0.12, 0.03, 0.06, 0, 0.04, 0.01, 0.35, 2.77, 1.21, 310.04, 327.15, 144.92, 19.86, 3.94, 1.29, 4.46, 12.45, 3.22, 21.88, 0.42, 1.24
301.34, 35.15, 0.56, 28.82, 4.7, 0, 0, 0, 782.75, 49.23, 154.15, 87.12, 35.83, 1.27, 13.44, 15.33, 0, 0.77, 40.82, 40.16, 8.65, 2.65, 0.04, 0.08, 0.1, 0.1, 0.49, 1.05, 1.09, 401.03, 1.25, 6.3, 189.24, 3.67, 0.93, 2.07, 6.43, 2.51, 3.54, 0.06
0, 51.47, 309.3, 12.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11.04, 0, 0.28, 0, 0, 0, 0, 0, 0, 0, 0, 0.35, 0.12, 19.11, 0.29, 0.8, 564.06, 3.2, 205.44, 53.37, 1.13, 17.92, 0.97, 27, 7.13, 0.56, 2.6
0, 0, 0, 0, 0, 336.59, 11.62, 15.83, 102.4, 13.98, 65.47, 15.21, 0, 865.81, 51.66, 356.14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4, 4.59, 7.39, 38.71, 450.79, 14.97, 0.3, 7.29, 141.49, 47.53, 6.33, 10.72, 3.65
0, 0, 0, 0, 0, 23.25, 6.65, 5.5, 0.32, 0.35, 0.45, 1.03, 339.75, 117.26, 0, 0, 0, 0, 0, 4.5, 0.5, 3.59, 3.64, 83.29, 1.86, 47.18, 0, 5.45, 0, 2.57, 30.87, 2.08, 8.61, 19.92, 0.93, 0.3, 26.83, 7.31, 5.47, 3.48
0, 0, 0, 0, 0, 143.8, 4.3, 457.64, 5.91, 2.41, 0.86, 0.59, 0, 183.38, 0, 0, 0, 26.14, 290.53, 72.29, 3.65, 1.1, 0.99, 0.38, 2.15, 113.36, 0.46, 4.33, 2.07, 200.03, 0.09, 0.6, 84.2, 104.47, 57.34, 160.06, 0.83, 3.57, 64.93, 57.78
0, 0, 0, 0, 0, 198.17, 317.7, 542.78, 110.84, 332.05, 25.07, 6.03, 2.43, 536.9, 39.16, 4.22, 22.37, 44.74, 3.9, 223.2, 5.96, 0.44, 0.45, 0.47, 5, 0.68, 1.53, 0.62, 2.86, 2.65, 2.24, 0.4, 21.06, 0.14, 106.96, 168.39, 20.89, 114.38, 4.82, 2.27
0, 0, 0, 0, 0, 0, 0, 0, 0, 257.97, 379.16, 554.61, 0, 0, 284.6, 0, 128.92, 2.35, 1.09, 6.75, 19.04, 0.89, 5.12, 6.61, 0.86, 13.08, 45.72, 1.7, 18.42, 1.08, 32.31, 6.01, 0.25, 2.48, 0.35, 2.17, 5.8, 1.66, 0.45, 2.03
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 669.9, 180.25, 101.2, 1.45, 0.48, 0.61, 1.25, 9.03, 7.56, 1.78, 3.58, 0.62, 1.15, 12.53, 1.42, 15.69, 97.05, 15.91, 0.21, 0.56, 0.98, 0.11, 0.13, 1.48, 4.17, 0.32
1.66, 551.88, 226.94, 898.25, 111.37, 22.08, 800.13, 247.94, 116.64, 16.8, 417.1, 610.41, 265.52, 0, 0, 0, 49.23, 185.92, 6.61, 0.24, 6.3, 0.53, 3.97, 5.12, 3.89, 2.72, 0.98, 0.72, 1.62, 1.03, 0.67, 7.18, 0.92, 0.12, 0.36, 0.19, 0.11, 0.06, 0.56, 0.39
12.31, 1.9, 296.12, 122.55, 381.06, 385.8, 22.67, 234.44, 8.44, 9.19, 0.96, 8.43, 33.11, 153.9, 0, 0, 0, 0, 263.07, 0.96, 1.32, 0.83, 0.64, 6.66, 10.76, 2.6, 260.82, 2.87, 0.77, 1.14, 2.98, 0.84, 0.78, 0.94, 0.35, 0.17, 0.04, 0.1, 0.37, 1.14
1.54, 2.37, 2.03, 28.52, 92.56, 122.24, 1.99, 5.21, 9.64, 10.43, 0.96, 4.32, 20.12, 6.54, 102.96, 493.2, 0, 0, 170.97, 6.59, 85.16, 20.1, 10.46, 56.91, 9.06, 6.6, 2.1, 40.87, 101.68, 7.9, 2.66, 286.63, 5.8, 9.09, 0.63, 0.32, 0.1, 0.3, 1.66, 0.13
