5.54, 3.19, 4.37, 2.15, 1.12, 2.85, 0.19, 0, 0, 0, 0, 2.45, 1.95, 0.54, 2.34, 2.37, 0.97, 0, 0, 0, 2.86, 2.19, 2.62, 3.29, 5.66, 3.35, 5.89, 3.48, 5.37, 2.81, 3.75, 5.66, 6.45, 7.03, 5.21, 7.46, 10.17, 10.38, 10.83
8.25, 5.99, 2.85, 3.85, 0.54, 3.29, 0, 1.11, 2.26, 0, 2.88, 0, 2.33, 0.22, 2.47, 3.12, 0, 1.26, 2.85, 1.1, 0, 0, 4.2, 2.75, 1.48, 4.52, 5.01, 4.16, 3.52, 3.82, 4.25, 1.59, 5.71, 6.37, 7.25, 5.76, 6.08, 8.11, 9.51
9.01, 10.08, 4.4, 0.89, 3.05, 0.76, 2.11, 0, 1.64, 0.75, 3.58, 1.74, 0.18, 0.67, 1.69, 2.55, 4.75, 0, 0, 1.85, 3.94, 3.05, 4.26, 1.5, 2.91, 4.93, 3.25, 3.32, 1.87, 3.62, 4.69, 6.02, 2.74, 1.99, 5.25, 6.47, 3.74, 7.25, 7.5
11.41, 9.49, 8.54, 5.43, 3.33, 0, 0, 2.42, 3.71, 1.31, 0.64, 0, 1.73, 0, 1.26, 1.72, 3.42, 2.1, 1.73, 1.48, 5.27, 5.75, 4.64, 2.44, 0.64, 1.21, 2.23, 5, 6.27, 5.86, 3.56, 6.72, 5.42, 0.44, 3.58, 7.13, 5.77, 5.01, 8.31
11.42, 12, 11.99, 11.07, 7.74, 5.86, 4.2, 0.44, 0.42, 1.86, 0, 0, 3.37, 0, 0.47, 2.09, 3.5, 1.06, 0, 1.9, 2.5, 6.77, 8.63, 5.22, 0.65, 2.66, 4.56, 2.82, 4.88, 4.94, 2.11, 6.87, 3.53, 4.04, 3.76, 4.76, 3.13, 6.92, 7.97
10.47, 12, 9.05, 9.34, 10.58, 6.48, 6.77, 2.39, 3.41, 2.67, 2.51, 3.22, 0, 2.72, 2.98, 2.65, 5.7, 3.08, 0.32, 0, 2.53, 3.61, 3.96, 8.16, 4.72, 4.55, 5.52, 3.62, 5.15, 4.45, 5.42, 2.86, 2.16, 4.05, 6.88, 4.51, 2.17, 3.52, 7.57
12, 9.48, 8.04, 6.8, 11.57, 12, 10.4, 7.84, 6.47, 6.41, 1.13, 0.32, 0.96, 2.91, 5.49, 2.35, 2.07, 2.01, 0.29, 0, 1.28, 2.73, 1.9, 3.17, 4.11, 3.07, 7.13, 5.8, 5.12, 4.96, 2.42, 4.77, 0.37, 0, 1.81, 1.95, 5.28, 5.68, 6.76
11.55, 8.56, 9.03, 5.95, 8.62, 10.26, 11.18, 10.81, 7.75, 8.47, 3.12, 0, 1.56, 0, 0.93, 0.41, 0, 0, 3.21, 0, 0.63, 3.43, 0.6, 1.18, 3.25, 1.22, 4.92, 6.86, 8.41, 5.13, 5.43, 4.49, 3.78, 1.58, 2.47, 2.29, 4.35, 3.36, 5.73
11.27, 11.9, 9.41, 6.29, 5.54, 7.61, 8.23, 12, 12, 9.62, 7.88, 4.41, 4.97, 1.64, 2.54, 2.69, 0, 2.7, 1.48, 0, 2.89, 3.09, 2.65, 2.98, 3.08, 0, 3.03, 6.56, 8.87, 8.48, 5.17, 7.88, 3.88, 1.18, 0, 0.27, 4.17, 5.61, 3.84
8.53, 8.49, 8.62, 8.93, 8.89, 9.01, 9.31, 9.34, 8.59, 8.27, 11.51, 10.45, 7.62, 3.64, 2.4, 4.95, 4.71, 3, 1.22, 0, 0, 0.11, 0.61, 3.44, 4.79, 4.27, 0, 5.51, 4.2, 9.36, 8.27, 8.09, 5.95, 5.44, 3.13, 0, 0, 1.37, 2.9
5.59, 7.51, 11, 11.76, 9.93, 8.28, 10.84, 11.45, 8.29, 6.49, 6.09, 11.93, 9.48, 9.28, 6.27, 6.58, 4.5, 6.63, 6.34, 4.6, 4.06, 1.27, 1.33, 4.75, 2.02, 3.72, 1, 3.11, 2.75, 6.26, 9.91, 9.4, 10.29, 6.92, 4.11, 1.82, 0, 2.17, 3.03
3.56, 5.87, 7.84, 7.24, 9.67, 6.94, 10.97, 8.25, 10.71, 6.36, 3.72, 9.32, 11.09, 11.01, 10.73, 9.15, 9.35, 5.95, 4.53, 3.18, 3.04, 0.35, 0, 3.62, 2.65, 1.78, 2.85, 0.79, 2.03, 2.64, 6.91, 10.98, 7.87, 7.63, 5.31, 0.81, 0.62, 0, 1.24
4.37, 4.53, 3.75, 4.13, 7.97, 10.71, 8.97, 9.85, 6.88, 6.78, 7.56, 4.92, 11.05, 10.69, 9.32, 11.54, 12, 8.57, 3.84, 6.41, 2.26, 1.3, 2.11, 0.03, 0.09, 2.84, 2.57, 1.75, 0.57, 3.45, 2.83, 4.03, 9.35, 8.12, 8.45, 2.15, 0, 0, 2.04
