"Iron:1000.47", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1038.76", "Iron:1146.16", "", "", "", "", "", "", "", "", "Iron:928.91", "Iron:764.35", "", "", "", "", "", "", "", "Iron:230.67", "Iron:805.24", "", "", "", "", "Zinc:1005.13"
"", "", "Iron:1380.37", "", "", "", "", "", "", "", "", "", "Iron:1003.49", "", "Iron:1440.88", "Iron:1004.17", "", "", "Iron:1056.76", "Iron:1269.23", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:2100.74", "Iron:1419.12", "Iron:2355", "Copper:1008.54"
"", "", "Copper:1073.62", "Iron:1518.92", "Iron:1608.72", "", "", "", "", "", "", "", "", "", "", "Iron:1210.56", "", "Iron:1262.19", "Iron:1122.8", "", "Iron:1249.68", "Zinc:1573.29", "", "", "Iron:991.08", "", "Iron:416.81", "Iron:144.21", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "Iron:1165.87", "", "", "", "", "Iron:1001.55", "", "", "Zinc:1113.96", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:49.79", "Iron:803.41|Lead:405.22", "", ""
"", "Iron:804.79", "", "", "", "", "", "", "", "", "", "", "Iron:1030.25", "", "", "", "Iron:1605.74", "Iron:1921.75", "", "", "Iron:1166.14", "", "", "", "", "", "", "Iron:603.72", "", "", "", "", "", "", "", "", "", "", "", ""
"", "Iron:662.15", "", "Iron:1363.2", "", "", "", "Iron:1220.94", "Iron:1175.42|Obsidian:1066.4", "", "Iron:993.05", "", "", "Iron:1180.66", "", "Iron:1007.68", "", "", "", "", "", "", "", "", "", "", "", "Iron:412.18", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "Iron:914.08", "Iron:1241.53", "Iron:1001.65", "", "", "", "", "Iron:1241.42", "", "", "", "", "", "", "", "", "", "", "", "Iron:1191.48|Marble:1346.4", "", "", "", "", "Iron:121.23", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "Iron:1050.18", "", "", "Iron:1721.21", "", "", "", "", "Lead:1043.56", "", "", "Iron:1384.59", "Iron:1125.09", "", "", "", "", "", "", "", "Iron:994.6", "", "", "", "", "", "", "", "Iron:420.58", "", "", "", "", "", "", ""
"", "", "", "Iron:10.58", "", "Iron:282.19", "", "Iron:440.31", "Tin:240.41", "", "", "", "", "Iron:1019.58", "Iron:551.85", "", "", "", "", "", "", "", "", "Iron:1007.97", "Iron:1024.68", "", "", "", "", "", "Iron:667.22", "Iron:929.02", "Iron:1076.85", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "Gold:788.99", "", "Lead:1404.61", "Iron:482.55", "Iron:1228.89", "", "Iron:1123.59", "", "", "Iron:1096.29", "", "", "", "", "", "Iron:1000.21", "", "", "", "Iron:942.83", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "Iron:40.74", "Iron:159.21", "Iron:149.02", "Iron:303.27", "", "", "", "", "Iron:361.69", "", "Iron:276.92", "", "Iron:610.32", "", "", "Iron:1027.56", "", "", "", "", "", "", "", "", "Iron:967.2", "", "", "", "Iron:556.72", "", "", "", "Iron:71.58", ""
