"Iron:0.03", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:13.92", "Iron:9.36", "", "", "", "", "", "", "", "", "Iron:8.46", "Iron:6.96", "", "", "", "", "", "", "", "Iron:5.68", "Iron:14.95", "", "", "", "", "Zinc:0.91"
"", "", "Iron:46.22", "", "", "", "", "", "", "", "", "", "Iron:13.45", "", "Iron:56.95", "Iron:13.46", "", "", "Iron:3.82", "Iron:18.54", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:354.54", "Iron:116.1", "Iron:259.41", "Copper:6.5"
"", "", "Copper:26.43", "Iron:70.07", "Iron:165", "", "", "", "", "", "", "", "", "", "", "Iron:20.81", "", "Iron:20.03", "Iron:10.23", "", "Iron:30.76", "Zinc:76.25", "", "", "Iron:10.01", "", "Iron:4.65", "Iron:5.11", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "Iron:23.31", "", "", "", "", "Iron:37.51", "", "", "Zinc:9.1", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1.86", "Iron:98.18|Lead:49.52", "", ""
"", "Iron:49.19", "", "", "", "", "", "", "", "", "", "", "Iron:6.64", "", "", "", "Iron:111.68", "Iron:112.33", "", "", "Iron:10.62", "", "", "", "", "", "", "Iron:12.97", "", "", "", "", "", "", "", "", "", "", "", ""
"", "Iron:24.8", "", "Iron:48.31", "", "", "", "Iron:28.1", "Iron:11.87|Obsidian:10.77", "", "Iron:8.11", "", "", "Iron:31.02", "", "Iron:10.18", "", "", "", "", "", "", "", "", "", "", "", "Iron:6.54", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "Iron:69.04", "Iron:86.34", "Iron:88.55", "", "", "", "", "Iron:43.99", "", "", "", "", "", "", "", "", "", "", "", "Iron:23.82|Marble:26.92", "", "", "", "", "Iron:1.48", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "Iron:64.19", "", "", "Iron:196.36", "", "", "", "", "Lead:34.94", "", "", "Iron:57.69", "Iron:15.08", "", "", "", "", "", "", "", "Iron:12.18", "", "", "", "", "", "", "", "Iron:13.29", "", "", "", "", "", "", ""
"", "", "", "Iron:0.23", "", "Iron:10", "", "Iron:5.9", "Tin:16.03", "", "", "", "", "Iron:26.79", "Iron:32.26", "", "", "", "", "", "", "", "", "Iron:5.7", "Iron:32.37", "", "", "", "", "", "Iron:29.27", "Iron:85.3", "Iron:145.49", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "Gold:19.42", "", "Lead:144.07", "Iron:12.68", "Iron:89.1", "", "Iron:11.35", "", "", "Iron:18.85", "", "", "", "", "", "Iron:2.51", "", "", "", "Iron:55.11", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "Iron:2.95", "Iron:8.1", "Iron:1.83", "Iron:1.72", "", "", "", "", "Iron:14.3", "", "Iron:4.4", "", "Iron:15.02", "", "", "Iron:9.36", "", "", "", "", "", "", "", "", "Iron:27.07", "", "", "", "Iron:37.11", "", "", "", "Iron:4.37", ""
