"", "", "", "", "", "", "", "Iron:2.72", "", "Iron:51.38", "", "", "", "Iron:25.53", "", "", "Iron:14.23", "", "", "", "", "", "Iron:34.12", "Iron:42.89", "", "", "", "", "", "", "", "Iron:3.77", "", "", "", "", "", "Iron:0.4", "Iron:0.3", ""
"", "", "", "", "", "", "Iron:1.62", "", "", "", "", "Iron:83.23", "", "", "", "", "Iron:80.17", "", "Iron:123.95", "Iron:49.17", "Iron:88.7", "", "", "", "", "", "", "", "", "", "", "Iron:9.06", "", "", "", "Iron:7.37", "", "", "", "Iron:3.35"
"", "", "", "", "", "", "", "", "", "", "Iron:33.35", "", "", "", "", "", "", "", "", "Iron:104.79", "", "", "", "", "Iron:150.81", "", "", "Iron:38.28", "", "Iron:42.36", "Iron:44.75", "", "Iron:88.17", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "Iron:0.58", "", "", "", "Iron:19.74", "", "Iron:67.2", "Iron:65.31", "", "Iron:89.72", "", "Lead:59.65", "Iron:55.92", "", "", "Iron:32.34", "", "", "", "", "", "Zinc:20.59", "", "", "Iron:6.36", "Iron:6.61", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:23.25", "Zinc:54.81", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:156.77", "Iron:79.85", "", "Iron:38.52", "Iron:23.68", "", "Iron:84.92", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:40.37", "Iron:14.01", "", "", "", "Iron:16.91", "Iron:15.18", "Iron:14.86", "", "", "", "Iron:3.45"
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:1.89", "", "", "", "", "", "", "Iron:2.51", "Tin:10.86", "", "Iron:2.06", "", "", "", "", "", "Iron:13.31", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:86.32", "", ""
"", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:0.85", "", "", "Iron:24.79", "", "", "Iron:249.6", "", ""
"", "", "", "", "", "", "", "", "", "", "", "Iron:2.38", "Iron:1.72", "", "", "Iron:11.34", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:7.08", "", "", "", "", "", ""
"", "", "", "", "", "", "", "", "", "", "", "Silver:8.29", "Iron:3.26", "Iron:5.17", "", "", "", "Iron:17.26", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:3.22", "", "Iron:5.81"
"Iron:0.08", "", "", "", "", "", "", "", "", "Iron:11.65", "", "", "", "", "", "", "Tin:13.66", "Uranium:31.47", "", "", "", "", "", "Gold:16.69", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:5.71"
"Iron:0.1", "", "Iron:1.78", "Iron:6.38", "", "", "", "", "Iron:2.78", "", "Iron:3.82", "", "Iron:2.46", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "", "Iron:19.66", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:14.69", "Iron:36.57", "", "", "Coal:3.07", "Iron:15.7", "Iron:24.76", "", "Iron:2.3", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "Iron:4.5", "Iron:9.65", "", "", "Iron:1.13", "", "", "", "", "", "Iron:1.93", "Iron:1.31", "", "", "", "", "", "Iron:21.31", "Iron:5.17", "", "", "Iron:13.49", "", "", "", "Iron:4.09", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "Copper:6.64", "", "Iron:2.1", "", "", "", "", "", "", "", "", "", "", "Iron:0.67", "", "", "", "", "", "", "", "Iron:1088.64", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "Iron:2.89", "Iron:0.4", "Iron:0.09", "", "", "", "", "", "", "", "", "", "", "Iron:19.09", "Iron:25.58", "", "", "", "", "", "", "", "", "", "", "", "Iron:124.84", "Iron:158.4", "", "Iron:12.37", "", "Iron:0.39", "", "", "", "", "", ""
"", "", "", "", "Iron:0.15", "", "Iron:217.6", "", "", "", "", "", "", "", "", "Iron:20.08", "", "", "Iron:21.47", "", "Iron:42.39", "", "", "", "", "", "", "", "", "", "", "", "", "Zinc:36.61", "Iron:0.21", "", "", "", "", ""
"", "", "Iron:1.47", "", "", "Iron:0.82", "", "", "Iron:43.83", "", "Iron:80.88", "Iron:1.59|Lead:1.71", "Iron:1.99", "", "", "", "", "Iron:25.16", "Zinc:290.91", "", "", "", "Iron:50.02", "", "Iron:192.95", "", "", "", "Iron:102.35", "Iron:65.1", "Lead:360.9", "", "", "", "", "Iron:44.28", "Coal:14.15", "", "", ""
"", "", "Iron:0.95", "", "", "", "", "Iron:18.18", "", "Iron:32.43", "", "Iron:2.44", "Iron:0.63", "", "", "", "", "", "", "", "Iron:29.99", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
"", "", "Iron:0.55", "", "", "", "", "Iron:41.39", "Iron:32.13", "Iron:11.55", "", "Iron:2.41", "", "", "", "", "Zinc:6.43", "", "", "", "Iron:22.4", "", "", "Iron:108.47", "", "Iron:82.42", "Iron:36.67", "", "Iron:15.14", "", "", "", "", "", "", "", "", "", "Iron:12", ""
"", "", "", "", "", "", "", "Iron:7.81", "", "", "", "", "", "", "", "", "Iron:2.05", "", "", "Iron:45.55", "Iron:17.26", "", "", "", "", "", "Iron:187.2", "Iron:155.84", "Iron:1036.15", "", "", "", "", "Iron:17.05", "", "", "", "", "Iron:13.07", ""
"", "", "", "", "", "", "", "", "", "", "Iron:4.59", "Iron:29.23", "", "Iron:0.91", "", "", "", "", "Iron:17.61", "Iron:40.29", "Iron:13.78", "Iron:29.86", "", "", "Iron:33.68", "", "", "Iron:79.62", "Iron:96.78", "", "Iron:392.89", "Iron:124.94", "", "", "Iron:13.3", "Iron:41.28", "", "Iron:59.36", "", "Iron:13.88|Copper:17.09"
"", "Iron:37.11", "Lead:22.2", "", "", "Iron:1.55", "", "", "Iron:24.79|Copper:17.6", "Iron:42.61", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Iron:59.84", "Iron:124.8", "", "", "Iron:25.61", "", "", "Iron:4.46", "Iron:15.44", "", "", "", ""
"", "", "", "", "", "", "", "", "", "Iron:72.51", "", "Iron:26.29", "", "", "", "", "Iron:12.24", "Iron:9.97", "", "", "", "", "", "", "", "", "", "Iron:19.66", "Iron:237.89", "", "Iron:4.32", "Iron:4.32", "", "", "", "", "", "", "", ""
"", "", "", "", "", "", "", "Iron:138.6", "", "", "Iron:140.75", "", "", "Iron:25.73", "", "Iron:16.93", "", "Iron:51.01", "", "", "Iron:51.51", "", "", "", "Iron:5.51", "Iron:6.66", "", "", "", "", "Marble:31.26", "", "", "", "", "", "", "", "", ""
